"","time","sentsmooth","Series 1","Series 2","Series 3","Series 4","Series 5","Series 6"
"2021-05-25","2021-05-25",0.070889689,0.0918325994850086,0.0806170147378455,0.0708906185090352,0.0762089464191077,0.0521670398556958,0.107841432739759
"2021-05-26","2021-05-26",0.11252885,0.131420670574433,0.0877061112949558,0.112524682853957,0.0799214192594498,0.244073275265,0.175612902435682
"2021-05-28","2021-05-28",0.10749216,0.143527750656541,0.13335818801212,0.107492663307742,0.132781883719545,0.112850559475733,0.146416949817248
"2021-05-29","2021-05-29",0.090428516,0.106898839009647,0.14340919337964,0.0904302444282525,0.0702032575681402,0.101888459773449,0.132375409004628
"2021-05-30","2021-05-30",0.055231422,0.0611419306924367,0.113401317760384,0.0552349538452783,0.0981684545302685,-0.0131543078405512,0.046243464492474
"2021-05-31","2021-05-31",0.053955812,0.0797709255876579,0.054938694425294,0.053955939979956,0.0207089133398175,0.0371633223797292,0.0949797185727012
"2021-06-01","2021-06-01",0.087134965,0.12587772887649,0.0801018880445366,0.0871316463588221,0.0778723167566111,0.0958238575504887,0.123319026918655
"2021-06-02","2021-06-02",0.11460894,0.149282643324975,0.127728393145236,0.114606191396408,0.0906213079568889,0.221163174074113,0.161817162015614
"2021-06-03","2021-06-03",0.17982164,0.190010229002833,0.143963606739535,0.17981511816298,0.175177316326491,0.164099834213195,0.189831091553361
"2021-06-04","2021-06-04",0.22480762,0.21840780132002,0.184617280157433,0.2248031187966,0.18942139370505,0.168253782018547,0.214308566699207
"2021-06-05","2021-06-05",0.21042114,0.210473582552598,0.219347448023807,0.210422578797352,0.23732801709684,0.18903792595139,0.199987766701051
