date,favourite,retweet,pred,ma4
2020-03-05,11757.667,2524.6667,.000025686411,.15909979
2020-03-08,23422.5,3772,.21834567,.000025686411
2020-03-10,20114,5512,3.2945218e-07,.21834567
2020-03-11,14759,6295,.00062019535,.109173
2020-03-13,9401.2998,2152.6001,.14425057,.0003102624
2020-03-16,37424,4111,.0027729075,.14425057
2020-03-17,89633,17579,.000086690765,.073511742
2020-03-18,15249.833,2668.3333,.046432871,.0014297991
2020-03-19,71076,13474,3.8080570e-06,.016430823
2020-03-20,53651.801,6150.3999,.23464619,.01232407
2020-03-21,25869.285,4881,.14895703,.070292391
2020-03-22,46867.332,8821.167,.16490272,.10750997
2020-03-23,6828.7778,574.45831,.2890532,.13712743
2020-03-24,15779.875,3762.875,.18693478,.20938978
2020-03-25,9240.333,1967,.036946014,.19746193
2020-03-26,40956.668,7384,.17582445,.16945918
2020-03-27,6211.2002,2147.2,.20986585,.17218961
2020-03-28,36918,12126,.0038434081,.15239277
2020-03-29,59541.5,5976,.0052631814,.10661993
2020-03-30,14244.6,4527.6001,.51671511,.09869922
2020-03-31,15887.75,1929.75,.19223011,.18392189
2020-04-01,4535.625,1489.875,.27127847,.17951295
2020-04-02,5422.5,743.1731,.48596868,.24637172
2020-04-03,7472.3335,344.16666,.14727165,.36654809
2020-04-04,9721.667,2733.6667,.25354749,.27418724
2020-04-05,8470,2148.2222,.18843296,.28951657
2020-04-06,5781.3335,1933.5,.21814436,.26880521
2020-04-07,6995.4443,1733,.095898889,.20184912
2020-04-08,5202.6001,1223.2,.24836844,.18900593
2020-04-09,4736,970,.45581248,.18771116
2020-04-10,1577.9269,500.36584,.22946739,.25455603
2020-04-11,7774.9443,1710.5,.12757844,.2573868
2020-04-12,2275.5454,940.54547,.12114369,.26530668
2020-04-13,4298.375,899,.065752707,.2335005
2020-04-14,9363,1979.5,.024361247,.13598555
2020-04-15,3733.8572,1538.8572,.1801689,.084709018
2020-04-16,3489.1428,995,.31948391,.097856633
2020-04-17,4464,1225,.026535539,.14744169
2020-04-18,3743.2222,1521.2222,.21788605,.13763739
2020-04-19,7708.3335,1262.6666,.26892996,.1860186
2020-04-20,5741.7144,1291.1428,.053693682,.20820886
